Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll,attentive
234869, U,351.1805,187.8791,354.8912,0
234890, U,351.2979,187.8714,354.7305,0
234907, U,351.3417,187.9228,354.6043,0
234923, U,351.3834,187.9628,354.4944,0
234938, U,351.3948,188.0488,354.3956,0
234952, L,351.4626,188.1692,354.1951,0
234974, L,351.5497,188.3066,354.1169,0
234990, L,351.6119,188.4472,354.022,0
235007, L,351.6591,188.5904,353.9183,0
235022, L,351.6892,188.778,353.8552,0
235036, L,351.7246,189.1847,353.6955,0
235057, L,351.6954,189.6103,353.6679,0
235073, L,351.704,190.0127,353.6287,0
235090, L,351.7475,190.4946,353.4927,0
235105, L,351.8066,191.0009,353.3609,0
235120, L,351.9353,191.8573,353.1565,0
235141, L,352.0001,192.4138,352.994,0
235157, L,352.0541,193.028,352.8054,0
235174, L,352.1509,193.729,352.6238,0
235189, L,352.2476,194.4485,352.4714,0
235203, L,352.3274,195.928,352.1694,0
235217, L,352.4116,196.9486,351.9893,0
235240, L,352.4635,198.4198,351.8194,0
235257, L,352.5875,199.9153,351.6379,0
235272, L,352.7268,201.4115,351.5264,0
235286, L,352.985,204.2298,351.2217,0
235300, L,353.113,205.9906,351.0976,0
235323, L,353.1566,208.1851,351.1101,0
235341, L,353.1549,210.4055,351.1383,0
235356, L,353.1844,212.8008,351.1425,0
235370, L,353.3906,217.2583,351.0397,0
235384, L,353.5466,219.6754,350.9578,0
235407, L,353.6703,222.4537,350.7466,0
235423, L,353.7477,225.0013,350.5291,0
235440, L,353.8149,227.5471,350.3906,0
235453, L,353.8725,230.0381,350.3156,0
235468, L,354.0015,234.957,350.0887,0
235491, L,354.054,237.5038,349.896,0
235507, L,354.1592,239.9668,349.8743,0
235524, L,354.2652,242.2901,349.8263,0
235537, L,354.3729,244.5439,349.719,0
235550, L,354.5174,249.0599,349.4741,0
235574, L,354.5213,250.9037,349.3063,0
235590, L,354.5932,252.6944,349.2187,0
235607, L,354.6218,254.2857,349.0948,0
235620, L,354.6599,255.81,348.9108,0
235634, L,354.7781,258.9434,348.5705,0
235657, L,354.8555,259.5665,348.2706,0
235673, L,354.954,260.3894,347.9515,0
235690, L,355.0287,261.142,347.55,0
